"CVEGEO","mean_temp_c","min_temp_c","max_temp_c","annual_prec_mm"
"14019",2.02785582315354,0.650482539146666,3.34478730701265,808.412698412698
"14021",2.33091132300241,1.17614284924098,3.33164286613464,1446.21428571429
"14024",1.9467227935791,0.556315785960147,3.29279997976203,847.684210526316
"14026",1.69534584283829,0.528350001573563,2.87499998807907,912.625
"14028",1.65044250011444,0.368559997081757,2.85518000602722,1195.1
"14001",1.91463822757497,0.473035296271829,3.28263530731201,858.705882352941
"14030",1.93820559183757,0.792666673660278,3.05540002187093,878.166666666667
"14052",2.11917638778687,0.736366665363312,3.40389998753866,799.583333333333
"14058",1.71079877404606,0.443270586168065,2.87332351908964,1349.23529411765
"14062",1.7660795211792,0.405509088256142,3.04034546071833,1111.45454545455
"14068",2.29650758213467,1.12771999782986,3.27118665907118,1375.95555555556
"14070",2.04575664520264,0.644479999542236,3.41559997558594,901.2
"14073",1.7945361888155,0.233480849671871,3.1975148830008,666.063829787234
"14075",2.00414404187884,0.592514279910496,3.3406857081822,954
"14079",1.76698421679045,0.574631573024549,2.9041473790219,913.631578947368
"14082",1.86433844199547,0.60575385093689,3.04378461104173,860.923076923077
"14084",1.93939399386561,0.747218605252199,2.94643255943476,1467.02325581395
"14086",1.56362851050592,0.426541934474822,2.67172903245495,909
"14093",1.81568796369765,0.380599999096659,3.17934999995761,825.972222222222
"14094",2.16896454947335,0.833352378814939,3.46775873880538,841.15873015873
"14097",1.94060727953911,0.588549999892712,3.27647497653961,869.40625
"14120",2.05155472305586,0.679441513205474,3.37644527363327,818.849056603774
"14098",2.03273097446987,0.65479999269758,3.34120003836496,907.142857142857
"14104",1.82716547421047,0.36822857260704,3.20924286842346,751.607142857143
"14105",1.96545595441546,0.560314280646188,3.29948569706508,834.928571428571
"14107",1.87493999481201,0.771440010070801,2.99151996612549,844
"14109",1.81741111013624,0.349244444900089,3.17072223557366,639.944444444444
"14110",1.96612985134125,0.593316668272018,3.23635001182556,910.458333333333
"14111",1.82871019575331,0.306466664208306,3.21855554580688,768.277777777778
"14112",1.7180610815684,0.493266661961873,2.91579999923706,919
"14113",1.86646389696333,0.650099998050266,2.99192219840156,896.138888888889
"14117",1.83787436852088,0.312399998077979,3.2186768751878,752.230769230769
"14121",2.10076070513044,0.806800014632089,3.26797144753592,953.642857142857
"14123",1.96741667247954,0.635923810232253,3.25720000494094,832.619047619048
